Year,Month,Tropical_group,Islands_group,Red_Sea,Latitude,Longitude,SST (°C),pH Level,None,Low_to_Medium_Bleaching,High,Species Observed,Marine Heatwave
2015,1,0,0,1,20.0248,38.4931,29.47,8.107,1,0,0,106,0
2015,1,1,0,0,-18.2988,147.7782,29.65,8.004,0,0,1,116,0
2015,1,1,0,0,14.9768,-75.0233,28.86,7.947,0,0,1,90,0
2015,1,1,0,0,-18.3152,147.6486,28.97,7.995,0,1,0,94,0
2015,1,0,1,0,-0.8805,-90.9769,28.6,7.977,1,0,0,110,0
2015,2,0,0,1,20.0055,38.4425,29.06,8.009,0,1,0,109,0
2015,2,1,0,0,9.9699,115.0926,28.48,7.998,1,0,0,132,0
2015,2,0,0,1,19.939,38.5104,25.56,8.042,0,1,0,152,0
2015,2,1,0,0,3.2397,73.2293,28.33,8.038,0,1,0,99,0
2015,3,1,0,0,14.964,-75.023,30.09,8.035,0,0,1,77,1
2015,3,0,1,0,-0.9376,-90.9849,27.48,8.101,1,0,0,145,0
2015,3,1,0,0,15.0466,-75.042,28.04,8.076,0,0,1,139,0
2015,3,0,1,0,-0.9778,-90.9749,26.84,8.023,1,0,0,148,0
2015,3,1,0,0,10.0678,114.9964,30.01,8.038,0,0,1,95,1
2015,4,0,0,1,20.0181,38.5769,28.45,8.129,0,0,1,81,0
2015,4,1,0,0,10.0411,115.0044,28.05,8.064,0,1,0,94,0
2015,4,1,0,0,14.989,-74.9821,30.72,7.98,0,0,1,85,1
2015,4,1,0,0,14.9749,-74.9542,28.99,8.014,1,0,0,122,0
2015,4,1,0,0,15.0049,-74.9516,27.45,8.055,0,1,0,124,0
2015,5,1,0,0,3.1296,73.2355,28.89,8.042,0,1,0,112,0
2015,5,1,0,0,-18.3579,147.6782,27.99,8.02,1,0,0,122,0
2015,5,0,1,0,19.917,-155.4885,28.76,8.058,0,1,0,116,0
2015,5,1,0,0,-18.383,147.6979,28.59,8.171,0,1,0,116,0
2015,6,1,0,0,-18.272,147.6975,26.75,8.142,0,1,0,148,0
2015,6,0,0,1,20.0396,38.4545,30.6,7.938,1,0,0,107,1
2015,6,0,0,1,20.1095,38.4505,27.65,8.072,1,0,0,120,0
2015,6,0,1,0,19.8193,-155.5794,26.91,8.106,0,1,0,122,0
2015,6,0,1,0,-0.8763,-91.0048,28.02,8.1,0,0,1,106,0
2015,7,0,1,0,-0.9424,-90.9002,26.09,8.107,0,1,0,148,0
2015,7,1,0,0,3.2419,73.1589,26.52,8.116,0,0,1,144,0
2015,7,0,0,1,20.0125,38.5173,27.48,8.082,0,1,0,134,0
2015,7,1,0,0,-18.3228,147.7925,29.21,7.976,0,0,1,122,0
2015,7,1,0,0,3.1541,73.2601,30.24,7.974,0,1,0,117,1
2015,8,0,0,1,20.0206,38.5411,31.35,7.981,0,1,0,80,1
2015,8,1,0,0,9.9555,114.9592,28.38,8.069,0,1,0,125,0
2015,8,0,1,0,19.9382,-155.5821,30.68,7.993,0,1,0,138,1
2015,8,1,0,0,15.0313,-75.0429,26.89,8.106,0,1,0,132,0
2015,9,1,0,0,15.0357,-74.9763,28.39,8.01,0,1,0,98,0
2015,9,1,0,0,-18.3094,147.742,28.82,7.981,0,1,0,119,0
2015,9,1,0,0,10.0193,114.9558,28.73,8.048,0,1,0,100,0
2015,9,0,1,0,-0.9359,-90.9376,30.12,8.07,1,0,0,83,1
2015,9,1,0,0,9.9531,115.0258,29.27,8.06,0,1,0,170,0
2015,10,0,0,1,20.0285,38.5568,29.93,8.054,1,0,0,100,0
2015,10,0,0,1,20.0379,38.4614,28.14,8.033,0,0,1,124,0
2015,10,1,0,0,3.3185,73.1273,29.53,7.949,1,0,0,102,0
2015,10,0,1,0,-0.8994,-90.9624,26.88,8.047,1,0,0,146,0
2015,10,1,0,0,-18.3236,147.71,28.57,8.016,0,1,0,151,0
2015,11,1,0,0,-18.2554,147.5979,28.78,8.011,1,0,0,129,0
2015,11,0,1,0,-0.9934,-90.9713,29.26,8.078,0,1,0,94,0
2015,11,0,1,0,19.8801,-155.6065,27.52,8.158,1,0,0,135,0
2015,11,1,0,0,9.937,115.0459,31.68,8.038,0,1,0,65,1
2015,12,0,0,1,19.9758,38.5633,27.44,8.093,0,1,0,142,0
2015,12,0,1,0,19.8505,-155.5858,23.64,8.096,0,0,1,164,0
